iata,latitude,longitude
JFK,40.6413,-73.7781
LAX,33.9416,-118.4085
ATL,33.6407,-84.4277
ORD,41.9742,-87.9073
SFO,37.6213,-122.379
AUS,30.1975,-97.6664
BNA,36.1263,-86.6774
BOS,42.3656,-71.0096
ABQ,35.0402,-106.6092
ANC,61.1743,-149.9963
BDL,41.9389,-72.6832
BOI,43.5644,-116.2228
ALB,42.7483,-73.8017
ABI,32.4113,-99.6819
ACY,39.4576,-74.5772
AMA,35.2194,-101.7059
ASE,39.2232,-106.8688
ATW,44.2574,-88.5191
AVL,35.4362,-82.5418
AZA,33.3078,-111.6555
AZO,42.2349,-85.552
DFW,32.8998,-97.0403
DEN,39.8561,-104.6737
SEA,47.4502,-122.3088
LAS,36.084,-115.1537
MIA,25.7959,-80.287
